Platform,Post Type,Alpha_Likes,Beta_Comments,Gamma_Shares,R_Squared,N_Samples
LinkedIn,Video,0.7840648592173763,0.05238250708371731,0.1635526336989065,0.040978969988476055,74
LinkedIn,Image,0.3814724531104456,0.34707398745124945,0.271453559438305,0.12155036027085053,84
LinkedIn,Link,0.6686087497650517,0.32700368575700234,0.0043875644779458834,0.07187732328873586,81
Instagram,Video,0.2910367372543204,0.2577456361110551,0.45121762663462434,0.02664075595777038,83
Instagram,Image,0.4303461939476012,0.1544513021866132,0.4152025038657856,0.00876178154868279,77
Instagram,Link,0.12319667414034559,0.2331272922066139,0.6436760336530405,0.008914221031460334,90
Twitter,Video,0.0977659513652382,0.7142769212524439,0.18795712738231796,0.049174825197452754,79
Twitter,Image,0.4657369896776292,0.2931482090396384,0.24111480128273236,0.048235606832444544,83
Twitter,Link,0.26231149131848486,0.5522175500355194,0.18547095864599578,0.04967853895819696,85
Facebook,Video,0.583967970997285,0.11415927060700837,0.3018727583957067,0.005256599009531793,95
Facebook,Image,0.5592859882002066,0.1922563467253817,0.24845766507441164,0.06312226492736506,72
Facebook,Link,0.38524356507493773,0.33010453681522667,0.28465189810983565,0.03164895044564664,96
